江西洪城水业股份有限公司,360000110007679,江西省南昌市西湖区灌婴路98号,33000万元
新疆天富能源股份有限公司,650000060000168,新疆石河子市红星路,90569.6586 万
北京京能清洁能源电力股份有限公司,110000002224112,北京市延庆县八达岭经济开发区紫光东路1号118室,647741.3454万元人民币
厦门厦工机械股份有限公司,350200100004303,厦门市思明区厦禾路668号,95896.9989万人民币
广州发展集团股份有限公司,440101000196724,广州市天河区临江大道3号28-30楼,272619.655800万元人民币
长春欧亚集团股份有限公司,220101010007558,朝阳区工农大路1128号,15908万元人民币
日照港股份有限公司,370000018076502,日照市海滨二路,307565.3888万元人民币
柳州化工股份有限公司,450200000016746,广西柳州市北鹊路６７号,"39,934.7513万元"
,,,
漳州片仔癀药业股份有限公司,350000100024317,福建省漳州市上街,16088.4589万人民币
,,,
广州汽车集团股份有限公司,440101000009080,广州市越秀区东风中路448--458号成悦大厦23楼,643502.009700万元人民币
北京昊华能源股份有限公司,110000005219835,北京市门头沟区新桥南大街2号,119999.8272万元人民币
上海实业发展股份有限公司,310000000047164,中国（上海）自由贸易试验区浦东南路1085号,108337.0873万人民币
,,,
四川广安爱众股份有限公司,510000000006202,四川省广安市广安区渠江北路８６号,71789.2146 万
,,,
无锡市太极实业股份有限公司,320200000015148,无锡市下甸桥南堍,119127.4272万元人民币
上海金桥出口加工区开发股份有限公司,310000400062043,中国（上海）自由贸易试验区金桥路28号,112241.2893万人民币
武汉三镇实业控股股份有限公司,420100000071259,武汉经济技术开发区联发大厦,"70,956.9692万人民币元"
内蒙古包钢钢联股份有限公司,150000000007124,内蒙古自治区包头市昆区河西工业区,1600518.2054万人民币元
北京巴士传媒股份有限公司,110000000454267,北京市海淀区紫竹院路32号,40320万元
云南省能源投资集团有限公司,530000000036318,云南省昆明市人民中路美亚大厦19-23层,1165999.7624万
北京天恒置业集团有限公司,110102000687239,北京市西城区阜外大街31号,854236.7万元人民币
北京首都开发股份有限公司,110000005020731,北京市东城区安定门外大街183号京宝花园二层,224201.25万元
湖北楚天高速公路股份有限公司,420000000028079,武汉市汉阳区龙阳大道9号,"145,337.7893万元"
华远地产股份有限公司,429005000006101,北京市西城区北展北街11号华远企业中心11#楼,181766.1006万元
,,,
安源煤业集团股份有限公司,360000110008833,江西省萍乡市经济开发区昭萍东路３号,98995.9882万元
京投银泰股份有限公司,330200000007765,海曙中山东路２３８号,74077.7597万元人民币
四川路桥建设集团股份有限公司,510000000088363,成都市高新区高朋大道11号科技工业园F-59号,301973.2672 万元人民币
北京京客隆商业集团股份有限公司,110000002315927,北京市朝阳区新源街45号楼,41222万元人民币
华域汽车系统股份有限公司,310000000013225,上海市静安区威海路489号,258320.0175万人民币
山东黄金矿业股份有限公司,370000018059438,济南市舜华路2000号舜泰广场3号楼,142307.2408万元人民币
北京京能电力股份有限公司,110000002769583,北京市石景山区广宁路10号,461732.0954万元
宁波热电股份有限公司,330200000069487,宁波经济技术开发区大港工业城,74693万元人民币
平顶山天安煤业股份有限公司,410000100020038,河南省平顶山市矿工路２１号,"236,116.4982万元"
张家港保税科技股份有限公司,530000000007928,张家港保税区石化交易大厦27-28层,119157.4157万元人民币
云南煤业能源股份有限公司,530000000019964,云南省昆明经开区经开路3号科技创新园A46室,98992.36万
江西赣粤高速公路股份有限公司,360000110007603,江西省南昌市高新区火炬大街199号赣能大厦,233540.7014万元
山东高速股份有限公司,370000018045596,济南市文化东路29号七星吉祥大厦A座,481116.5857万元人民币
杭州前进齿轮箱集团股份有限公司,330181000004255,萧山区萧金路45号,40006万元人民币
江苏凤凰置业投资股份有限公司,320000000108232,南京市中央路389号凤凰国际大厦六楼,74060.0634万元人民币
广晟有色金属股份有限公司,460000000131809,海南省海口市龙华区滨海大道69号海口宝华海景大酒店8楼809房,26212.2646万
四川川投能源股份有限公司,510000000090776,成都市武侯区龙江路11号,220107.024 万
,,,
山煤国际能源集团股份有限公司,140000110108716,太原市小店区长风街115号,"198,245.614万元"
昆明中营津桥科教有限公司,530100000010631,云南省昆明市高新区海源北路1268号,600.0万人民币
南京新明经济开发有限公司,320123000010071,南京六合区中山科技园永成路18号,14500万元人民币
广州华工百川科技有限公司,440101000005561,广州市萝岗区玉岩路华立街3号,8888.000000万元人民币
浙江南浔古镇旅游发展有限公司,330504000022128,湖州市南浔镇适园路徐家弄,25000万元人民币
福建省客家土楼旅游发展有限公司,350822100000399,永定县凤城镇河滨路1号,150000.0万人民币
杭州市设备安装有限公司,330100000029181,杭州市拱墅区密渡桥路23号四楼、五楼,5300万元人民币
重庆市涪陵区宏伟公路工程有限公司,500102000014197,重庆市涪陵区青羊镇安镇西路37号,5000万元人民币
无锡惠山软件产业发展有限公司,320206000124007,无锡惠山经济开发区智慧路18号智慧大厦,15000万元人民币
常州市春秋淹城建设投资有限公司,320483000220465,武进区湖塘镇武宜南路588号常乐坊79号,50000万元人民币
浙江天台公路运输有限公司,331023000018795,天台县始丰街道天台山西路501号,25000万元人民币
中兴能源有限公司,110000010716319,北京市朝阳区裕民路12号E3座,129000万元
南京西部路桥集团有限公司,320121000006750,南京市江宁区湖熟街道瑞泽路8号,20000万元人民币
