公司名,城,注册号
扬中市中扬现代渔业产业发展有限公司,江苏,321182000067562
扬州化工产业园公共管廊有限公司,江苏,321081000005528
扬州化工产业投资发展有限公司,江苏,321081000004961
扬州威亨热电有限公司,江苏,321000400001299
扬州恒基大通光电有限公司,江苏,321000400014099
扬州绿色产业投资发展控股（集团）有限责任公司,江苏,321000000076010
扬州鑫域建设工程有限公司,江苏,321088000192661
扬州鼎兴开发建设有限公司,江苏,321002000001966
新城控股集团股份有限公司,江苏,320483000091688
新沂市交通投资有限公司,江苏,320300000232978
新沂市交通物流有限公司,江苏,320381000004640
无锡吴文化博览园建设发展有限公司,江苏,320200000015726
无锡安阳山产业发展有限公司,江苏,320206000155687
无锡市北塘建设投资发展有限公司,江苏,320200000172200
无锡市北塘投资发展有限公司,江苏,320200000170622
无锡市太极实业股份有限公司,江苏,320200000015148
无锡市新区发展集团有限公司,江苏,320213000001584
无锡市滨湖商旅文化发展有限公司,江苏,320211000138912
无锡市长绿农业科技发展有限公司,江苏,320213000039360
无锡惠山软件产业发展有限公司,江苏,320206000124007
无锡惠憬城市发展有限公司,江苏,320206000148462
无锡沪宁城铁惠山站区投资开发建设有限公司,江苏,320206000127626
无锡锡东新城建设发展有限公司,江苏,320205000119652
无锡锡东科技投资控股有限公司,江苏,320205000007565
无锡雪浪科教产业投资发展有限公司,江苏,320211000012719
无锡高新物流中心有限公司,江苏,320213000002962
昆山龙腾电子有限公司,江苏,320583400002028
月星集团有限公司,江苏,320400000016878
江苏东升水务建设工程有限公司,江苏,321300000000765
江苏中南建设集团股份有限公司,江苏,320600000241314
江苏中泰桥梁钢构股份有限公司,江苏,320000000070820
江苏中瑞路桥建设有限公司,江苏,321200000009150
江苏中联物流有限公司,江苏,321300000018589
江苏中能硅业科技发展有限公司,江苏,320300400006732
江苏中超控股股份有限公司,江苏,320282000047735
江苏云港投资发展有限公司,江苏,320700000094516
江苏亨通光电股份有限公司,江苏,320000000014108
江苏伟驰建设发展有限公司,江苏,320483000251212
江苏八达园林有限责任公司,江苏,320483000133946
江苏凤凰置业投资股份有限公司,江苏,320000000108232
江苏北极皓天科技有限公司,江苏,320282000229351
江苏叠石桥投资有限公司,江苏,320684000001065
江苏古运河投资发展有限公司,江苏,320200000014233
江苏句容福地生态科技有限公司,江苏,321183000007053
江苏句容赤山湖生态环境建设发展有限公司,江苏,321183000059736
江苏嘉隆工程建设有限公司,江苏,321323000007850
江苏大宏纺织集团股份有限公司,江苏,320900000042689
江苏太仓港开发建设股份有限公司,江苏,320000000009163
江苏宁沪高速公路股份有限公司,江苏,320000000004194
江苏宇迪光学股份有限公司,江苏,320623000112846
江苏容丰现代农业科技有限公司,江苏,321183000069787
江苏山河水泥有限公司,江苏,320831000029862
江苏崇明科技实业有限公司,江苏,321183000008525
江苏广亚建设集团有限公司,江苏,320483000110600
江苏德和生物科技有限公司,江苏,320281400009234
江苏恒星钨钼有限公司,江苏,321000400009328
江苏恒瑞投资开发有限公司,江苏,320982000003750
江苏恒顺达生物能源有限公司,江苏,321100400011115
江苏惠海旅游发展有限公司,江苏,320621000235333
江苏扬安集团有限公司,江苏,321000000000540
江苏新城地产股份有限公司,江苏,320400000004045
江苏枣林湾实业有限公司,江苏,321081000001068
江苏欧邦塑胶有限公司,江苏,320582000102767
江苏武进太湖湾旅游发展有限公司,江苏,320483000021301
江苏江南商贸集团有限责任公司,江苏,320581000006832
江苏洋口港投资开发有限公司,江苏,320600400011605
江苏洪泽湖建设投资集团有限公司,江苏,320829000035353
江苏润扬交通工程集团有限公司,江苏,321000000002801
江苏淮阴水利建设有限公司,江苏,320800000000039
江苏瀛洲发展集团有限公司,江苏,320700000006242
江苏瑞洁塑料管材管件有限公司,江苏,320800400000504
江苏省长荡湖文化旅游发展有限公司,江苏,320482000077544
江苏科地现代农业有限公司,江苏,320282400006305
江苏综艺股份有限公司,江苏,320600000157784
江苏联发纺织股份有限公司,江苏,320600400006064
江苏舜天船舶股份有限公司,江苏,320000000022880
江苏花王园艺股份有限公司,江苏,321181000046029
江苏茅山福地旅游有限公司,江苏,321183000063313
江苏连云港港口股份有限公司,江苏,320700000003113
